Enderley,G3,19
Nawton,G2.5,42
Pukete,G3,0
Beerescourt,G3,25
Central,G2.5,25
Beerescourt,G2.5,6
Harrowfield,G2.5,62
Aberdeen,G3,12
Hillcrest,G2.5,100
Chartwell,G2.5,64
Fitzroy,G3,64
Hamilton East,G2.5,41
Hamilton East,G2.5,0
Rototuna,G3,57
Central,G2.5,51
Silverdale,G3,45
Queenswood,G3,24
Claudelands,G2.5,68
Claudelands,G2.5,85
Flagstaff,G3,6
Deanwell,G3,31
Beerescourt,G2.5,16
Frankton,G2.5,100
Glenview,G3,76
Dinsdale,G2.5,84
Enderley,G2.5,0
Whitiora,G3,48
Ruakura,G2.5,64
Fairfield,G3,14
Rototuna,G2.5,46
Hillcrest,G3,57
Fairview,G2.5,68
Hamilton East,G2.5,79
Hillcrest,G3,98
